timestamp,inference_ms,action,model_type,probs,safety_override,switched
2026-03-25T07:52:11.949716,1.594,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:16.951839,1.509,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:52:21.958028,1.169,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:52:26.960711,1.505,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:31.966115,0.985,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:52:36.968542,0.990,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:41.974838,0.938,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:46.976525,1.002,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:51.982814,1.001,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:52:56.984506,0.983,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:01.990639,1.040,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:06.992566,0.968,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:11.998059,0.970,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:53:16.999724,0.965,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:22.005707,1.038,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:27.007513,0.964,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:53:32.014007,1.236,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:53:37.015599,1.036,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:42.021509,1.405,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:47.023445,0.966,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:52.029129,1.025,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:53:57.031823,1.050,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:54:02.037178,1.051,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:07.039490,0.990,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:12.045136,0.950,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:17.047412,0.974,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:54:22.053082,1.012,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:54:27.054654,0.966,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:32.060122,0.974,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:37.062633,1.020,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:42.068328,1.076,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:54:47.070476,0.980,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:54:52.076137,0.969,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
